market,county,geoid,place,rural,status,tier,mf_rationale,acreage_realism,lat,lon,notes
Charleston,Berkeley,45015020201,Cordesville–Cainhoy fringe (NE Berkeley),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,Very large NE Berkeley land; Cainhoy adjacency; longer-horizon MF if utilities catch up,High,33.3806007,-79.8905635,nom_watch=Med; ALAND~27533ac; deep rural portions — avoid swamp-only pockets
Charleston,Berkeley,45015020101,St. Stephen–Cross (I-26 N),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,I-26 north Berkeley; Cross/St. Stephen small towns; land-rich but thinner near-term MF comps,High,33.3433018,-80.1701824,nom_watch=Med; ALAND~30697ac; sewer story thinner than Moncks Corner cluster
Charleston,Berkeley,45015020202,St. Stephen / Bonneau west (US-52 N),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,Between St. Stephen and Moncks Corner; US-52 corridor; land abundant,High,33.4272266,-80.0396688,nom_watch=Med; ALAND~63129ac; ~63k ac tract — filter developable upland carefully
Charlotte,Lancaster,45057010500,Lancaster city fringe (US-521 / SC-9),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,Lancaster small-city fringe MF; US-521/SC-9; Charlotte ~45–60 min,Med,34.6924242,-80.8004274,nom_watch=High; ALAND~5123ac; denser than 11001 — pad hunt tighter
Charlotte,Lancaster,45057010300,Heath Springs / US-521 south Lancaster,Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,South Lancaster rural; Heath Springs node; US-521 continuity from Indian Land growth,High,34.5705217,-80.7384781,nom_watch=Med; ALAND~90167ac; thinner retail/jobs than Lancaster proper
Charlotte,Chester,45023020700,Richburg / I-77 corridor (Chester),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,I-77 industrial/logistics growth south of Rock Hill; workforce MF thesis for warehouse corridor,High,34.7364624,-81.0291076,nom_watch=Med; ALAND~28604ac; Chester is outer 90-min edge but I-77 makes it plausible
Charlotte,Chester,45023020800,Fort Lawn–Richburg (I-77 / SC-9),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,I-77 / SC-9 toward Rock Hill–Lancaster; Fort Lawn small-town fringe land,High,34.7553083,-80.9363719,nom_watch=Med; ALAND~43449ac; similar I-77 MF/workforce thesis as 20700
Charleston,Charleston,45019002402,Far W Charleston / Edisto–Adams Run (US-17),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,Second Charleston County rural tract; large land bank; farther from peninsula jobs than Ravenel–Hollywood,Med,32.774506,-80.3516406,nom_watch=Low; ALAND~56573ac; floodplain/wetland heavy; avoid barrier-island/Edisto Beach tip
Charleston,Dorchester,45035010200,St. George–Harleyville (I-26 / US-78 inland),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,Deep inland Dorchester; I-26; land-rich; weaker near-term MF rents vs Ridgeville,High,33.1882779,-80.5663258,nom_watch=Low; ALAND~39287ac; St. George utility capacity TBD
Charleston,Colleton,45029970601,E Colleton / Walterboro east (US-17 / I-95),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,Walterboro job/shed fringe toward Charleston; US-17/I-95; secondary Charleston ring,High,32.917015,-80.5917279,nom_watch=Low; ALAND~29896ac; ~45–60+ min to Charleston; industrial>MF comps
Charleston,Orangeburg,45075010200,Holly Hill / I-26 fringe (Orangeburg east),Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,Orangeburg east toward Charleston via I-26; Holly Hill node; outer-edge but corridor-adjacent,Med,33.3204311,-80.3922399,nom_watch=Low; ALAND~49136ac; Orangeburg county is outer/uncertain 90-min; deprioritize deep west Orangeburg
Charlotte,Chester,45023020900,SE Chester / Great Falls–Richburg fringe,Y,Eligible rural — SC Gov filed statewide Sep 10 2026 / not designated; this GEOID not confirmed nominated,B,Chester SE toward Great Falls; land-rich; weaker Charlotte commute than Richburg/I-77,Med,34.6182565,-81.003256,nom_watch=Low; ALAND~52482ac; pure-farm risk without sewer story
